Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,arrival_full_date
inn00001,2,0,1,2,meal plan 1,0,room_type 1,224,offline,0,0,0,65.0,0,not_canceled,2017-10-02
inn00002,2,0,2,3,not selected,0,room_type 1,5,online,0,0,0,106.68,1,not_canceled,2018-11-06
inn00003,1,0,2,1,meal plan 1,0,room_type 1,1,online,0,0,0,60.0,0,canceled,2018-02-28
inn00004,2,0,0,2,meal plan 1,0,room_type 1,211,online,0,0,0,100.0,0,canceled,2018-05-20
inn00005,2,0,1,1,not selected,0,room_type 1,48,online,0,0,0,94.5,0,canceled,2018-04-11
inn00006,2,0,0,2,meal plan 2,0,room_type 1,346,online,0,0,0,115.0,1,canceled,2018-09-13
inn00007,2,0,1,3,meal plan 1,0,room_type 1,34,online,0,0,0,107.55,1,not_canceled,2017-10-15
inn00008,2,0,1,3,meal plan 1,0,room_type 4,83,online,0,0,0,105.61,1,not_canceled,2018-12-26
inn00009,3,0,0,4,meal plan 1,0,room_type 1,121,offline,0,0,0,96.9,1,not_canceled,2018-07-06
inn00010,2,0,0,5,meal plan 1,0,room_type 4,44,online,0,0,0,133.44,3,not_canceled,2018-10-18
inn00011,1,0,1,0,not selected,0,room_type 1,0,online,0,0,0,85.03,0,not_canceled,2018-09-11
inn00012,1,0,2,1,meal plan 1,0,room_type 4,35,online,0,0,0,140.4,1,not_canceled,2018-04-30
inn00013,2,0,2,1,not selected,0,room_type 1,30,online,0,0,0,88.0,0,canceled,2018-11-26
inn00014,1,0,2,0,meal plan 1,0,room_type 1,95,online,0,0,0,90.0,2,canceled,2018-11-20
inn00015,2,0,0,2,meal plan 1,0,room_type 1,47,online,0,0,0,94.5,2,not_canceled,2017-10-20
inn00016,2,0,0,2,meal plan 2,0,room_type 1,256,online,0,0,0,115.0,1,canceled,2018-06-15
inn00017,1,0,1,0,meal plan 1,0,room_type 1,0,offline,0,0,0,96.0,0,not_canceled,2017-10-05
inn00018,2,0,1,3,not selected,0,room_type 1,1,online,0,0,0,96.0,1,not_canceled,2017-08-10
inn00019,2,0,2,2,meal plan 1,0,room_type 1,99,online,0,0,0,65.0,0,canceled,2017-10-30
inn00020,2,0,1,0,meal plan 1,0,room_type 1,12,offline,0,0,0,72.0,0,not_canceled,2017-10-04
inn00021,2,0,2,2,meal plan 1,0,room_type 1,99,online,0,0,0,65.0,0,canceled,2017-10-30
inn00022,1,0,0,1,meal plan 1,0,room_type 1,122,corporate,0,0,0,67.0,0,not_canceled,2018-11-25
inn00023,2,0,2,4,meal plan 1,0,room_type 1,2,offline,0,0,0,85.0,0,not_canceled,2018-03-20
inn00024,2,0,0,3,meal plan 1,0,room_type 1,37,offline,0,0,0,105.0,0,not_canceled,2018-10-13
inn00025,2,0,2,1,not selected,0,room_type 1,130,online,0,0,0,94.5,1,not_canceled,2018-05-22
inn00026,2,0,0,2,meal plan 1,0,room_type 1,99,online,0,0,0,114.3,1,not_canceled,2018-04-28
inn00027,2,0,1,1,meal plan 1,0,room_type 1,60,offline,0,0,0,65.0,0,not_canceled,2017-09-21
inn00028,1,0,0,2,meal plan 1,0,room_type 4,2,aviation,0,0,0,110.0,0,canceled,2018-05-19
inn00029,1,0,1,2,meal plan 1,0,room_type 1,37,online,0,0,0,37.33,0,canceled,2017-11-06
inn00030,2,0,0,2,meal plan 2,0,room_type 1,56,offline,0,0,0,82.0,0,not_canceled,2017-09-17
inn00031,2,0,1,1,meal plan 1,0,room_type 4,3,online,0,0,0,177.5,1,not_canceled,2017-09-19
inn00032,2,0,2,2,meal plan 1,0,room_type 1,107,online,0,0,0,87.5,1,not_canceled,2018-11-13
inn00033,0,2,0,3,meal plan 1,0,room_type 2,56,online,0,0,0,82.44,1,not_canceled,2018-12-07
inn00034,2,0,0,1,not selected,0,room_type 1,2,online,0,0,0,69.5,1,not_canceled,2018-01-09
inn00035,2,0,0,2,meal plan 1,0,room_type 1,72,offline,0,0,0,85.5,0,not_canceled,2018-10-07
inn00036,2,0,0,1,not selected,1,room_type 1,23,online,0,0,0,115.0,1,not_canceled,2018-04-27
inn00037,1,0,2,1,meal plan 1,0,room_type 1,34,online,0,0,0,81.0,0,canceled,2018-06-19
inn00038,2,0,0,1,meal plan 1,0,room_type 1,289,offline,0,0,0,67.0,0,not_canceled,2017-10-17
inn00039,2,0,2,3,not selected,0,room_type 1,247,online,0,0,0,63.75,0,canceled,2018-11-19
inn00040,2,0,2,1,meal plan 1,0,room_type 4,186,online,0,0,0,121.8,1,canceled,2018-07-30
inn00041,2,0,0,4,meal plan 1,0,room_type 1,64,online,0,0,0,93.6,2,not_canceled,2018-11-01
inn00042,2,0,0,2,meal plan 1,0,room_type 1,35,online,0,0,0,102.0,1,not_canceled,2018-06-21
inn00043,3,0,2,1,meal plan 1,0,room_type 1,96,online,0,0,0,121.8,1,not_canceled,2018-04-10
inn00044,2,0,1,1,not selected,0,room_type 1,41,online,0,0,0,98.1,1,canceled,2018-06-27
inn00045,2,0,0,4,meal plan 1,0,room_type 4,55,offline,0,0,0,60.0,1,not_canceled,2017-11-18
inn00046,2,0,0,3,meal plan 1,0,room_type 1,146,offline,0,0,0,75.0,0,not_canceled,2017-12-29
inn00047,1,0,0,2,meal plan 1,0,room_type 1,32,offline,0,0,0,73.0,0,not_canceled,2017-11-20
inn00048,2,0,0,1,meal plan 2,0,room_type 1,55,offline,0,0,0,104.0,0,not_canceled,2018-04-06
inn00049,2,0,0,4,not selected,0,room_type 1,57,online,0,0,0,79.2,1,not_canceled,2018-11-01
inn00050,1,0,1,3,meal plan 1,0,room_type 4,7,online,0,0,0,125.8,2,not_canceled,2018-12-29
inn00051,1,0,2,5,not selected,0,room_type 1,124,online,0,0,0,87.95,0,not_canceled,2018-05-30
inn00052,2,0,2,2,meal plan 2,0,room_type 1,169,online,0,0,0,106.0,0,canceled,2018-04-22
inn00053,1,0,1,2,meal plan 1,0,room_type 1,6,online,0,0,0,136.67,1,not_canceled,2018-05-16
inn00054,2,0,0,4,meal plan 1,0,room_type 4,51,offline,0,0,0,60.0,1,not_canceled,2017-11-11
inn00055,2,0,1,0,not selected,0,room_type 1,13,online,0,0,0,89.0,2,not_canceled,2018-06-13
inn00056,2,0,1,3,meal plan 1,0,room_type 1,100,online,0,0,0,136.0,1,not_canceled,2018-05-19
inn00057,2,0,0,1,not selected,0,room_type 1,139,online,0,0,0,94.5,1,not_canceled,2018-07-28
inn00058,2,0,1,2,meal plan 1,0,room_type 1,117,online,0,0,0,93.6,2,not_canceled,2018-12-26
inn00059,2,0,1,4,meal plan 1,0,room_type 4,39,online,0,0,0,120.6,0,canceled,2018-04-20
inn00060,2,0,0,3,meal plan 1,0,room_type 4,86,online,0,0,0,99.3,1,not_canceled,2018-04-06
inn00061,2,2,0,1,meal plan 1,1,room_type 6,2,online,0,0,0,258.0,1,not_canceled,2018-09-02
inn00062,1,0,0,3,meal plan 1,0,room_type 4,19,online,0,0,0,120.12,2,not_canceled,2018-05-03
inn00063,1,0,0,2,meal plan 1,0,room_type 1,192,offline,0,0,0,95.0,0,not_canceled,2018-06-24
inn00064,1,0,0,1,meal plan 1,0,room_type 1,2,complementary,0,0,0,0.0,1,not_canceled,2017-09-10
inn00065,2,0,2,1,meal plan 1,0,room_type 1,86,offline,0,0,0,75.0,0,not_canceled,2018-12-18
inn00066,2,0,0,3,meal plan 1,0,room_type 4,30,online,0,0,0,157.5,2,not_canceled,2018-10-05
inn00067,2,0,0,2,meal plan 1,0,room_type 4,179,online,0,0,0,97.7,1,not_canceled,2018-06-03
inn00068,2,0,0,2,meal plan 1,0,room_type 4,26,online,0,0,0,142.0,0,canceled,2018-04-15
inn00069,2,0,0,1,meal plan 1,0,room_type 1,55,offline,0,0,0,80.0,0,not_canceled,2018-04-06
inn00070,2,0,1,2,meal plan 1,0,room_type 1,74,online,0,0,0,85.5,1,not_canceled,2018-04-25
